iter	Logloss
0	0.6843891
1	0.675282605
2	0.6664819394
3	0.6573203246
4	0.648331666
5	0.6387419912
6	0.6307081811
7	0.6229098355
8	0.616018334
9	0.6076747558
10	0.5987984063
11	0.5915432986
12	0.5850620971
13	0.5781274106
14	0.5700884038
15	0.5630154814
16	0.5550157181
17	0.5481483947
18	0.541829922
19	0.5363509087
20	0.5303502093
21	0.5251359885
22	0.5187150058
23	0.5134365106
24	0.5075453806
25	0.5021709132
26	0.496589278
27	0.4919462603
28	0.4857134071
29	0.4807922454
30	0.4760548163
31	0.4708337183
32	0.4658616006
33	0.4611196417
34	0.4571307092
35	0.4534714618
36	0.4480052079
37	0.4440223894
38	0.4396308405
39	0.4352657053
40	0.4313413071
41	0.4272191812
42	0.4236180214
43	0.4190253971
44	0.4148804563
45	0.4106385823
46	0.4067372633
47	0.4035746746
48	0.3990280303
49	0.3953357877
50	0.391033162
51	0.3865357763
52	0.3833760497
53	0.3801532559
54	0.3773859398
55	0.3744471951
56	0.3713942677
57	0.3683382625
58	0.366151085
59	0.3635074366
60	0.3606563938
61	0.3572189748
62	0.3547148297
63	0.3519913893
64	0.3493316676
65	0.3466920844
66	0.3439568934
67	0.3416240578
68	0.3384486083
69	0.3362407715
70	0.3338041812
71	0.3313493508
72	0.329167142
73	0.3268075348
74	0.3239592198
75	0.3213054847
76	0.3184077225
77	0.3166042019
78	0.3139868386
79	0.312053516
80	0.3094329225
81	0.3074775571
82	0.3053120207
83	0.3031850545
84	0.301611701
85	0.2999043705
86	0.298010526
87	0.2959228506
88	0.294004984
89	0.2919429653
90	0.2896715628
91	0.2871819317
92	0.2857116207
93	0.283790851
94	0.2817783406
95	0.2797977238
96	0.2782735325
97	0.2758553815
98	0.2743703866
99	0.272586858
100	0.2705524788
101	0.2692075742
102	0.2674965847
103	0.2659650615
104	0.2643622561
105	0.2627785716
106	0.2614844127
107	0.259722247
108	0.258482923
109	0.257137893
110	0.25547774
111	0.2542028115
112	0.2527747956
113	0.2511847296
114	0.2494770121
115	0.2478553114
116	0.246455265
117	0.2453187649
118	0.2440128302
119	0.2427040401
120	0.2415143943
121	0.2403370316
122	0.2388976313
123	0.2376144973
124	0.2364625327
125	0.2350938225
126	0.2341530307
127	0.2329516093
128	0.2317311142
129	0.2302830389
130	0.2289083907
131	0.2274955261
132	0.2264547531
133	0.2255695487
134	0.2244145509
135	0.2237271675
136	0.2227555861
